salesperson_name,client_name,month_year,total_amount
TONY,CANON CHEMICALS LTD,23-Jan,124833.4
SUZY,ALPHA BREEZE ENTERPRISES,23-Jan,340982
SUZY,BESAPACK LIMITED,23-Jan,433840
SUZY,JOMUS SPICES LIMITED,23-Jan,98170.8
SUZY,KAPA OIL REFINERIES LIMITED,23-Jan,-1195264
SUZY,SCORELINE COMMUNCATIONS LIMITED,23-Jan,52896
SUZY,SKY DRIPS LIMITED,23-Jan,23850
SUZY,SLEEKLADY COSMETIC LIMITED,23-Jan,29000
SHIV,ACE CHEMICALS LTD,23-Jan,69080.9
SHIV,AQUAMIST LIMITED,23-Jan,2344188.436
SHIV,BIDCO AFRICA LIMITED DR,23-Jan,195863.68
SHIV,BLOWPLAST LIMITED,23-Jan,41748.4
SHIV,BLUE RING PRODUCTS LTD,23-Jan,61822.2
SHIV,BOBMIL INDUSTRIES LTD DR,23-Jan,289263.632
SHIV,BRUSH MANUFACTURERS LIMITED DR,23-Jan,14140.4
SHIV,CANAAN WATER COMPANY LTD,23-Jan,4718430.322
SHIV,CAPWELL INDUSTRIES LIMITED,23-Jan,93264
SHIV,CITY LINK WATER FACTORY COMPANY LIMITED,23-Jan,322172.7264
SHIV,DIVINE INDUSTRIES LIMITED,23-Jan,337212
SHIV,EDIBLE OIL PRODUCTS LIMITED,23-Jan,602156
SHIV,GENERAL INDUSTRIES LTD,23-Jan,43950.776
SHIV,GLAXOSMITHKLINE LIMITED,23-Jan,563992
SHIV,JIT BEVERAGE COMPANY,23-Jan,850591.57
SHIV,JOSQUINE PACKAGING LIMITED,23-Jan,240352
SHIV,JUSTUS MWANGI,23-Jan,63167.89187
SHIV,KENAFRIC INDUSTRIES LIMITED,23-Jan,213992.16
SHIV,KENPOLY MANUFACTURERS LIMITED,23-Jan,1561647.088
SHIV,MENENGAI OIL REFINERIES LIMITED,23-Jan,1555270.696
SHIV,NESTLE KENYA LIMITED,23-Jan,34349.34
SHIV,PLANET IMPORTER EAST AFRICA LIMITED,23-Jan,14755.2
SHIV,PORTA CONSULTANCY LTD,23-Jan,3480
SHIV,PZ CUSSONS EAST AFRICA LIMITED,23-Jan,2947435.576
SHIV,QWAY LIMITED,23-Jan,2273.6
SHIV,S. C. JOHNSON & SON KENYA LIMITED,23-Jan,169360
SHIV,SOLVOCHEM EAST AFRICA LIMITED,23-Jan,305683.2
SHIV,SPALLIC TRADE LABELS,23-Jan,8120
SHIV,SUNTORY BEVERANGE & FOOD KENYA,23-Jan,1325740.8
SHIV,SUPERSLEEK LIMITED DR,23-Jan,189534.72
SHIV,T.M.ABDULHUSEIN & SONS,23-Jan,255126.3168
SHIV,TAIFA IMPORTS LIMITED-DR,23-Jan,75613.44
SHIV,TANGA PHARMACEUTICAL & PLASTIC,23-Jan,11736343.32
